"Name";"Domain name";"IP Address";"NumCpu";"MemoryGB";"SSD/GB";"SAS/GB";"NLSAS/GB";"RAW/GB";"Organization";"Organisation prefix";"Services";"PowerState";"Responsible"
"apro-blockchain-node";"apro-bc-node";"185.189.16.137|192.168.255.16";"4";"4";;"200";;"";"Аскона Проперти";"ПР";"Blockchain";"PoweredOn";""
"cp-template-b34b31a0-4810-47a4-8b99-40c7a11b7be8";"it1327590353.gw-ad.local";"";"12";"30";"300";;;"";"";"";"";"PoweredOff";""
"ltv-blockchain-node";"ltv-bc-node";"185.189.16.138|192.168.255.18";"4";"4";;"200";;"";"Литвуд";"ЛН";"Blockchain";"PoweredOn";""
"atl-dev-rch-master-01";"dev-rch-master-01";"";"2";"4";;"100";;"";"АТЛАНТА";"К";"devops";"PoweredOff";""
"cp-replica-e9e7bd4c-053c-4fdc-86f9-fcc4c5ded60d";;"";"12";"30";"300";;;"";"";"";"";"PoweredOff";""
"Host_uksm-skud";"hostinguk";"192.168.254.73|fe80::250:56ff:fe9e:2d38|185.189.16.31|fe80::250:56ff:fe9e:6e70";"4";"2";;"100";;"";"Сервис Менеджмент";"СМ";"Web";"PoweredOn";""
"my-ubuntu-test-plzdontouch";;"";"2";"4";"80";;;"";"АТЛАНТА";"К";"";"PoweredOff";""
"vek-blockchain-node";"vek-bc-node";"185.189.16.140|192.168.255.22";"4";"4";;"200";;"";"Аскона-Тех";"ЛН-ТЕХ";"Blockchain";"PoweredOn";""
"ltv-slv-blockchain-api";"blockchainapisolvis";"172.19.60.1|fe80::42:d6ff:fe23:4672|192.168.254.186|fe80::250:56ff:fe85:f1bd";"2";"2";;"100";;"";"Литвуд";"ЛН";"Blockchain";"PoweredOn";""
"da-blockchain-api";"da-bc-api";"172.19.60.1|fe80::42:97ff:feb1:d4b0|172.20.0.1|fe80::42:77ff:febb:328f|192.168.254.210|fe80::250:56ff:feae:3b6f";"2";"2";;"100";;"";"Диджитал Адванс";"ДА";"Blockchain";"PoweredOn";""
"vcsa-app-01";;"";"2";"8";;"100";;"";"Атланта";"К";"";"PoweredOff";""
"Host-pmt-bitrix-group-pmt-ru";"group-pmt";"185.189.16.53|fe80::250:56ff:fe85:8f6f";"2";"4";;"19,578125";;"";"Литвуд";"ЛН";"Web";"PoweredOn";""
"atl-sharepoint-2019";"shareport2019.gw-ad.local";"192.168.254.193";"4";"24";;"150";;"";"АТЛАНТА";"К";"SharePoint";"PoweredOn";""
"atl-1c-mssql-work01";"srv-mssql1c-01.gw-ad.local";"192.168.254.97|fe80::cd71:a95e:c985:7818";"16";"32";"8200";;;"";"Атланта";"К";"";"PoweredOn";""
"atl-rds-ts-11-litva-oof";"ts11.gw-ad.local";"192.168.254.111";"6";"16";;"300";;"";"АТЛАНТА";"К";"RDS";"PoweredOn";"SmetaninAV"
"atl-rdts-micros";"WIN-74S2TEPDPPB";"fe80::a1e7:85b5:b4db:67|169.254.0.103";"2";"8";;"100";;"";"Курорт Доброград";"АТК3";"";"PoweredOn";""
"bitrix-pikinsky";;"";"2";"4";;"100";;"";"Диджитал Адванс";"ДА";"Web";"PoweredOn";""
"Host-isp-Atlanta";"localhost.localdomain";"185.189.16.19|fe80::250:56ff:fe9e:234e";"14";"24";;"360";;"";"АТЛАНТА";"К";"Web";"PoweredOn";""
"ask-asbap-web";"vm-cognos-web.hcaskona.com";"192.168.40.1|192.168.10.43|192.168.56.1";"16";"128";;"699,9990234375";;"";"Аскона-Век";"АВ-БСП";"Cognos";"PoweredOn";""
"srv-askona-tel";;"";"4";"16";;"200";;"";"Аскона-Век";"АВ-ПР";"MobApp";"PoweredOff";""
"ask-it-ws-01";;"";"2";"4";;;"200";"";"АТЛАНТА";"К";"IT-WS";"PoweredOff";""
"host-ask-sql-02n";"host-ask-sql-02n";"172.19.180.105|fe80::250:56ff:fe85:adb0|10.0.0.15|fe80::250:56ff:fe85:19a4";"32";"64";"300";;;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"ask-1c-app-10-wms";"1c-app-10-ask-wms.gw-ad.local";"192.168.254.162";"12";"64";"700";;;"";"Аскона-Век";"АВ-ВМС";"WMS";"PoweredOn";""
"ltv-ssl-blockchain-node-01";"bc-node1";"185.189.16.65|192.168.254.134";"4";"4";;"200";;"";"Литвуд";"ЛН";"Blockchain";"PoweredOn";""
"atl-rdts-Goldn";"atl-rdts-goldn.gw-ad.local";"";"12";"50";"300";;;"";"";"";"";"PoweredOff";""
"atl-sharepoint-2019-oos";"share2019_oos.gw-ad.local";"192.168.254.208";"2";"16";;"100";;"";"Атланта";"К";"Sharepoint";"PoweredOn";""
"atl-WS-Win10-MS";"Home-WORKSTATION";"";"2";"4";"100";;;"";"";"";"";"PoweredOff";""
"atl-test-mim-01";;"";"2";"8";;"100";;"";"АТЛАНТА";"К";"";"PoweredOff";""
"atl-dhcp-01";"atl-dhcp-01.gw-ad.local";"192.168.254.15";"2";"8";;"100";;"";"АТЛАНТА";"К";"DHCP";"PoweredOn";""
"host-ask-web-cron";"host-ask-web-cron";"10.0.0.17|fe80::250:56ff:fe85:7b4d|172.19.180.110|fe80::250:56ff:fe85:5e8a";"6";"32";;;"1224";"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"atl-directum-certsrv";"certsrv.gw-ad.local";"192.168.254.7";"4";"4";;"100";;"";"АТЛАНТА";"К";"";"PoweredOn";"SmetaninAV"
"atl-exch-hosting-01";"exch-hosting-01.gw-ad.local";"";"4";"8";;"100";;"";"АТЛАНТА";"К";"Exchange";"PoweredOff";"SmetaninAV"
"atl-gitlab";"srvCVS";"185.189.16.42|fe80::250:56ff:feae:685f|192.168.254.69|fe80::250:56ff:fe9e:1cdb";"2";"4";;"300";;"";"АТЛАНТА";"К";"";"PoweredOn";"GalitskiyEM"
"host-ask-web-infobus-02";"host-ask-infobus-02";"172.16.60.1|fe80::42:2ff:fe17:55ff|10.0.0.26|fe80::250:56ff:fe85:c461|185.189.16.130|fe80::250:56ff:feae:c788|172.16.57.1|fe80::42:8eff:fe4e:424d|172.16.58.1|fe80::42:fbff:fe9f:6fc4|10.13.31.1|fe80::42:76ff:fe1a:73d1";"8";"12";;"100";;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"atl-exch-mbx-02";"exch-mbx-02.gw-ad.local";"192.168.254.202";"18";"82";"11140";;;"";"АТЛАНТА";"К";"Exchange";"PoweredOn";"SmetaninAV"
"atl-rds-ts-05";"ts05.gw-ad.local";"";"16";"70";;"420";;"";"АТЛАНТА";"К";"RDS";"PoweredOff";"SmetaninAV"
"cp-replica-3bb64d87-3312-4825-9881-615f09605fd8";;"";"2";"6";;"100";;"";"";"";"";"PoweredOff";""
"atl-1c-app-dev01";"1c-app-dev01-atl.gw-ad.local";"172.19.143.31|fe80::8c10:d4c4:2e59:e0b";"6";"28";"100";;;"";"Атланта";"К";"";"PoweredOn";""
