"Name";"Domain name";"IP Address";"NumCpu";"MemoryGB";"SSD/GB";"SAS/GB";"NLSAS/GB";"RAW/GB";"Organization";"Organisation prefix";"Services";"PowerState";"Responsible"
"host-ask-web-memcached";"host-ask-web-memcached";"10.0.0.7|172.19.180.115|fe80::250:56ff:fe85:65b|fe80::250:56ff:fe85:87f5";"12";"24";;"100";;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"cp-template-679d5ed4-92b2-493b-a2bc-1919b0e1e40c";"it848941276.gw-ad.local";"";"12";"30";"300";;;"";"";"";"";"PoweredOff";""
"atl-it-ws-sav";"atl-it-ws-sav.gw-ad.local";"";"4";"8";;"200";;"";"Атланта";"К";"";"PoweredOff";""
"bitrix-askonamed-test";;"";"2";"4";;"100";;"";"ПКМЦ";"АМС";"Web";"PoweredOff";""
"atl-dev-02";"dev02";"185.189.16.67|fe80::250:56ff:fe85:e826|192.168.100.1|fe80::42:afff:fe51:ec25|192.168.254.141|fe80::250:56ff:fe85:d81b";"4";"4";;"100";;"";"АТЛАНТА";"К";"Portal";"PoweredOn";"SmetaninAV"
"cp-replica-cc0d0e56-ce6d-43d3-b368-ccf84825d182";;"";"12";"30";"300";;;"";"";"";"";"PoweredOff";""
"ltv-zabbix-01";"zabbix";"192.168.254.244|fe80::250:56ff:feae:f0d7";"4";"12";;"160";;"";"Литвуд";"ЛН";"";"PoweredOn";""
"atl-astral";"astralold.gw-ad.local";"192.168.254.39";"8";"36";"850";;;"";"АТЛАНТА";"К";"Astral";"PoweredOn";"SmetaninAV"
"ask-test-cognos";"vm-test-cognos.hcaskona.com";"";"16";"120";;;"300";"";"Аскона-Век";"АВ-БСП";"Cognos";"PoweredOff";""
"atl-dev-rancher-test";"atl-dev-rancher-01";"";"4";"8";;;"100";"";"АТЛАНТА";"К";"тест";"PoweredOff";"Соколов"
"atl-srv-wsus-01";"srv-wsus-01.gw-ad.local";"192.168.254.165";"8";"22";"500";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-rds-ts-03";"TS03.gw-ad.local";"";"16";"78";;"410";;"";"АТЛАНТА";"К";"RDS";"PoweredOff";"SmetaninAV"
"ask-omni-lk-db03";"prod-omnilk-db03.pos.askona.ru";"192.168.10.159|fe80::250:56ff:feae:2f6d";"8";"32";;"500";;"";"ТД Аскона";"ТДА-ДОМ";"";"PoweredOn";""
"host-ask-web-ngx-01n";"host-ask-web-ngx-01n";"172.19.180.107|fe80::250:56ff:fe85:a1a3|10.0.0.32|fe80::250:56ff:feae:3b3b|185.189.16.71|fe80::250:56ff:fe85:ff12";"12";"8";;"100";;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"atl-sig-38";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-sig-28";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-26";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-17";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-03";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-09";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"1c-kafkabm";"1c-kafkabm";"172.19.220.165|fe80::250:56ff:feae:b3c5";"2";"4";"100";;;"";"";"";"";"PoweredOn";""
"bitrix24-db-delivery-n";;"";"1";"2";"19,578125";;;"";"";"";"";"PoweredOn";""
"1c-kafka-worker1";"1c-kafka-worker1";"172.19.220.163|fe80::250:56ff:feae:a13";"4";"4";"100";;;"";"";"";"";"PoweredOn";""
"1c-kafka-worker2";"1c-kafka-worker2";"172.19.220.164|fe80::250:56ff:feae:331b";"4";"4";"100";;;"";"";"";"";"PoweredOn";""
"atl-ic-vdi-kdm";"ATL-IC-VDI-KDM.gw-ad.local";"192.168.253.11";"6";"32";;"300";;"";"ТД Аскона";"ТДА";"";"PoweredOn";""
"atl-sitcloud-01";"scloud.askonalife.com";"192.168.254.245|fe80::250:56ff:feae:cc7e";"6";"12";"200";;"800";"";"";"";"";"PoweredOn";""
"atl-ic-vdi-407";"atl-ic-vdi-407.gw-ad.local";"172.19.27.88";"2";"6";"100";;;"";"";"";"";"PoweredOn";""
"atl-sharepoint-2013";"shareport.gw-ad.local";"192.168.254.57|fe80::2d24:281:3890:c935";"12";"40";;"400";;"";"АТЛАНТА";"К";"SharePoint";"PoweredOn";""
"ltv-julivi";"JULIVI.gw-ad.local";"192.168.254.37";"2";"4";;"140";;"";"Литвуд";"ЛН";"";"PoweredOn";""
"atl-rdts-03";"srv-rds-03.gw-ad.local";"172.19.180.203";"18";"86";"800";;;"";"АТЛАНТА";"К";"RDS";"PoweredOn";""
"atl-sig-16";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"ces-naumen-monitoring";"nmn-askona-mon";"172.19.220.24|fe80::250:56ff:feae:e2ff";"2";"4";;"150";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"ces-naumen-sql-01";"nmn-askona-pg-app";"172.19.220.21|fe80::250:56ff:feae:2cc7";"4";"16";"500";"50";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"atl-exch-ht-01";"HT01.gw-ad.local";"192.168.254.31";"2";"6";;"200";;"";"АТЛАНТА";"К";"Exchange";"PoweredOn";"SmetaninAV"
"ces-naumen-sd-gateway";"nmn-askona-gw";"172.19.220.20|fe80::250:56ff:feae:72d9";"4";"8";"300";"50";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"atl-1c-app-05";"1c-app-05-atl.gw-ad.local";"172.19.143.11|fe80::c18a:3e75:e12a:5c1e";"6";"24";"205";;;"";"Биёса, ООО";"БР";"1C APP";"PoweredOn";""
"atl-sig-15";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-1c-app-01";"1c-app-01-atl.gw-ad.local";"172.19.143.12|fe80::6108:d6b1:38e8:f0c9";"6";"32";"200";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-ic-vdi-219";"atl-ic-vdi-219.gw-ad.local";"172.19.27.79";"2";"6";;"250";;"";"42-sol";"МТ";"";"PoweredOn";""
"atl-wiki-01";;"";"2";"6";"200";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-sig-12";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"bitrix24-db-delivery";;"";"1";"2";"19,578125";;;"";"Курорт Доброград";"АТ";"";"PoweredOff";""
"atl-bitwarden-01";;"";"2";"6";"200";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-klen-ts-update-1c";"SRV-KLEN-TS-1S.gw-ad.local";"172.19.180.196";"8";"64";;"770";;"";"Атланта";"К";"RDS";"PoweredOn";""
"ltv-1c-mssql-03-dev";"1c-mssql-03-pmt-test.gw-ad.local";"192.168.254.166";"18";"128";;;"21102";"";"Литвуд";"ЛН";"MS SQL";"PoweredOn";""
"bitrix-mir";;"";"2";"2";"100";;;"";"Школа";"МИ";"";"PoweredOn";""
"atl-sig-36";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-rdts-09";"srv-rds-09.gw-ad.local";"172.19.180.210";"18";"86";"840";;;"";"Атланта";"К";"";"PoweredOn";""
"atl-sig-05";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"ces-naumen-sd-singleton";"nmn-askona-app";"172.19.220.19|fe80::250:56ff:feae:256c";"8";"8";;"350";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"atl-1c-app-03";"1c-app-03-atl.gw-ad.local";"172.19.143.14|fe80::4d48:1cec:d12a:4249";"16";"24";"200";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-rdts-10";"srv-rds-10.gw-ad.local";"172.19.180.211";"26";"86";"670";;;"";"Атланта";"К";"";"PoweredOn";""
"atl-sig-02";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-37";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-rdts-06";"srv-rds-06.gw-ad.local";"172.19.180.206";"28";"86";"740";;;"";"Атланта";"К";"терминал";"PoweredOn";""
"atl-rdts-02";"srv-rds-02.gw-ad.local";"172.19.180.202";"26";"86";"740";;;"";"АТЛАНТА";"К";"RDS";"PoweredOn";"SmetaninAV"
"atl-oos-01";;"";"6";"12";"200";;;"";"";"";"";"PoweredOn";""
"ces-naumen-sd-report";"nmn-askona-rep";"172.19.220.27|fe80::250:56ff:feae:4e3e";"4";"8";"300";"50";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"ces-naumen-fs";"nmn-askona-fs";"172.19.220.25|fe80::250:56ff:feae:19c2";"4";"4";;"500";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"ces-naumen-lb";"nmn-askona-lb";"172.19.220.18|fe80::250:56ff:feae:8479";"1";"2";;"50";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"atl-zabbix-vm";"localhost.localdomain";"192.168.254.11|fe80::250:56ff:feae:aba4";"6";"12";;"260";;"";"АТЛАНТА";"К";"Zabbix";"PoweredOn";""
"atl-win-10";;"";"4";"6";;"100";;"";"";"";"";"PoweredOn";""
"atl-sig-29";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-csp-51";"atl-csp-51.gw-ad.local";"172.19.6.16";"2";"6";;"100";;"";"СЗ Доброград";"СЗД";"";"PoweredOn";""
"atl-ic-vdi-402";"atl-ic-vdi-402.gw-ad.local";"172.19.27.87";"2";"6";"100";;;"";"";"";"";"PoweredOn";""
"atl-ic-vdi-308";"atl-ic-vdi-308.gw-ad.local";"172.19.27.76";"4";"16";"100";;;"";"42-sol";"МТ";"";"PoweredOn";""
"atl-sig-13";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-servdesk";"srvdsk01.gw-ad.local";"192.168.254.50";"20";"10";"310";;;"";"АТЛАНТА";"К";"Portal";"PoweredOn";"SmetaninAV"
"atl-rds-ts-06-ukrain";"ts06.gw-ad.local";"192.168.254.106";"16";"40";;"800";;"";"АТЛАНТА";"К";"RDS";"PoweredOn";"SmetaninAV"
"atl-ic-vdi-302";"atl-ic-vdi-302.gw-ad.local";"172.19.27.66";"2";"6";"100";;;"";"Аскона-Тех";"ЛН-ТЕХ";"";"PoweredOn";""
"atl-1c-app-02-dev";"1c-app02.gw-ad.local";"192.168.254.100";"12";"64";"230";;;"";"АТЛАНТА";"К";"1C APP";"PoweredOn";"SmetaninAV"
"atl-1c-app-16";"1c-app-16-atl.gw-ad.local";"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-10";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-1c-app-15";"1c-app-15-atl.gw-ad.local";"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"vm-admin-ps";"vm-admin-ps.gw-ad.local";"192.168.254.170";"6";"12";"320";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-1c-app-12";"1c-app-12-atl.gw-ad.local";"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-23";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-ic-vdi-211";"atl-ic-vdi-211.gw-ad.local";"172.19.27.52";"2";"6";;"100";;"";"АТЛАНТА";"К";"";"PoweredOn";""
"cp-replica-e3e52b5c-819d-467e-97ab-b9b34a193a94";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-sig-24";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-1c-app-14";"1c-app-14-atl.gw-ad.local";"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-1c-lic-04-test";"1c-lic-04.gw-ad.local";"192.168.254.124";"4";"4";"100";;;"";"Литвуд";"ЛН";"";"PoweredOn";""
"aisi-ws-03";"aisi-ws-03.gw-ad.local";"172.19.27.22|fe80::a46a:54c3:b5f7:7754";"2";"4";"200";;;"";"АйСи ООО";"ТДД";"IT-WS";"PoweredOn";""
"ces-naumen-sql-report";"nmn-askona-pg-rep";"172.19.220.26|fe80::250:56ff:feae:e29f";"4";"8";;"50";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"cp-template-08460058-8497-49d2-8e98-762c97a47303";;"";"2";"6";;"100";;"";"";"";"";"PoweredOff";""
"ltv-1c-lic-02";"ltv-1c-lic-02.gw-ad.local";"192.168.254.177";"6";"8";"100";;;"";"Литвуд";"ЛН";"1C";"PoweredOn";""
"ltv-clickhouse-01";"ltv-ya";"192.168.254.82|fe80::250:56ff:feae:2160";"4";"8";;"400";;"";"Литвуд";"ЛН";"";"PoweredOn";""
"atl-1c-app-13";"1c-app-13-atl.gw-ad.local";"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-rds-ts-07";"TS07.gw-ad.local";"";"16";"82";;"430";;"";"АТЛАНТА";"К";"RDS";"PoweredOff";"SmetaninAV"
"vcsa67n";"vcsa.gw-ad.local";"192.168.250.9";"8";"24";"498,6982421875";;;"";"АТЛАНТА";"К";"VCSA";"PoweredOn";""
"host-ask-dev-sandbox-web-01";"host-ask-sandbox-01";"185.189.16.134|fe80::250:56ff:feae:2c52|172.19.180.126|fe80::250:56ff:feae:d998|10.0.0.24|fe80::b58d:3831:dd8b:e253";"42";"74";"780";;;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"ces-naumen-artemis";"nmn-askona-mq";"172.19.220.23|fe80::250:56ff:feae:f786";"2";"6";"50";"50";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"atl-1c-app-18";;"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-ic-vdi-404";"atl-ic-vdi-404.gw-ad.local";"172.19.27.83";"2";"6";"100";;;"";"ЦЕС АЛГ";"ТДД";"";"PoweredOn";""
"1c-kafkabm03";"1c-kafkabm03";"172.19.220.167|fe80::250:56ff:feae:7f55";"2";"4";"100";;;"";"";"";"";"PoweredOn";""
"atl-backup-proxy254-v2";"bproxy2.gw-ad.local";"192.168.254.214";"12";"12";;"200";;"";"";"";"";"PoweredOn";""
"atl-1c-lic-01n";"atl-1c-lic-01.gw-ad.local";"192.168.254.220|fe80::9173:6200:237d:e9ac";"6";"8";"100";;;"";"Литвуд";"ЛН";"";"PoweredOn";""
"atl-sig-25";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-33";;"";"2";"6";"100";;;"";"АТЛАНТА";"К";"";"PoweredOff";""
"atl-UTM-01";"localhost";"172.19.230.130|185.189.16.254|169.254.1.6|169.254.1.1|169.254.1.2";"8";"16";"300";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-exch-mb2k10-01";"mb01.gw-ad.local";"192.168.0.2|fe80::b869:f29:866c:413d|169.254.1.170|192.168.254.32";"2";"6";;"540";;"";"АТЛАНТА";"К";"Exchange";"PoweredOn";"SmetaninAV"
"atl-ic-vdi-304";"atl-ic-vdi-304.gw-ad.local";"172.19.27.82";"2";"6";"100";;;"";"Адапта";"МТ";"";"PoweredOn";""
"atl-ic-vdi-223";"atl-ic-vdi-223.gw-ad.local";"172.19.27.64";"2";"6";;"100";;"";"";"";"";"PoweredOn";""
"atl-ic-vdi-001";"atl-ic-vdi-001.gw-ad.local";"172.19.27.26";"6";"16";;"300";;"";"";"";"";"PoweredOn";"Межевова Наталья Вадимовна"
"ask-databus-Rabbit";"Databus.gw-ad.local";"192.168.254.19|fe80::29b3:f148:b486:61b6";"8";"32";"360";;;"";"Аскона-Тех";"ЛН-ТЕХ";"";"PoweredOn";"GalitskiyEM"
"atl-ic-vdi-210";"atl-ic-vdi-210.gw-ad.local";"172.19.27.51";"2";"6";;"100";;"";"42-sol";"МТ";"";"PoweredOn";"Масляев Вячеслав"
"cp-replica-a1d43b87-d8a4-43d4-a27a-ad48c2694fa9";;"";"2";"6";;"100";;"";"";"";"";"PoweredOff";""
"atl-astral-00";;"";"4";"8";;"700";;"";"Атланта";"К";"";"PoweredOff";""
"atl-ic-vdi-011";"atl-ic-vdi-011.gw-ad.local";"172.19.27.37";"2";"6";;"100";;"";"Атланта";"К";"WS-VDI";"PoweredOn";""
"atl-ic-vdi-217";"atl-ic-vdi-217.gw-ad.local";"172.19.27.58";"2";"6";;"100";;"";"Атланта";"К";"";"PoweredOn";""
"atl-srv-mata";"srv-mata-01.gw-ad.local";"192.168.254.90";"6";"16";"10000";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-ic-vdi-003";"atl-ic-vdi-003.gw-ad.local";"172.19.27.25";"2";"6";;"100";;"";"ТД Аскона";"ТДА-ВЭБ";"";"PoweredOn";""
"atl-grafana";"atl-grafana";"192.168.254.148|fe80::250:56ff:feae:bab9";"2";"8";"50";;;"";"Атланта";"К";"";"PoweredOn";"Гаврилов"
"atl-ic-vdi-213";;"";"2";"6";;"100";;"";"42-sol";"МТ";"";"PoweredOff";""
"atl-ic-vdi-006";"atl-ic-vdi-006.gw-ad.local";"172.19.27.30";"2";"6";;"100";;"";"";"";"WS-VDI";"PoweredOn";"galitskiyem"
"atl-ic-vdi-201";"atl-ic-vdi-201.gw-ad.local";"172.19.27.39";"2";"6";;"100";;"";"Градострой ООО";"ХК";"WS-VDI";"PoweredOn";""
"atl-ic-vdi-405";"atl-ic-vdi-405.gw-ad.local";"172.19.27.86";"2";"6";"100";;;"";"";"";"";"PoweredOn";""
"atl-ic-vdi-214";"atl-ic-vdi-214.gw-ad.local";"172.19.27.55";"6";"16";;"100";;"";"ТД Аскона";"ТДА";"";"PoweredOn";""
"atl-rdts-05";"srv-rds-05.gw-ad.local";"172.19.180.205";"18";"86";"700";;;"";"Атланта";"К";"";"PoweredOn";""
"cp-replica-e44c46a3-9363-46c0-bc42-d56330cd7923";;"";"2";"6";;"100";;"";"";"";"";"PoweredOff";""
"atl-exch-mbx-01";"exch-mbx-01.gw-ad.local";"192.168.254.201";"18";"92";"12750";;;"";"";"";"";"PoweredOn";""
"atl-fserver-01";"fserver.gw-ad.local";"192.168.254.243";"4";"6";"113,2412109375";;"52612,7999992371";"";"АТЛАНТА";"К";"";"PoweredOn";"SmetaninAV"
"atl-1c-app-03-upp";"1c-app-gw-03-upp.gw-ad.local";"192.168.254.183";"12";"62";;"520";;"";"АТЛАНТА";"К";"1C APP";"PoweredOn";"SmetaninAV"
"atl-ic-vdi-215";"atl-ic-vdi-215.gw-ad.local";"172.19.27.50";"2";"6";;"100";;"";"Атланта";"К";"";"PoweredOn";""
"cp-replica-07c5fe9f-8107-4349-9578-8cc94ce83ce0";;"";"2";"6";;"100";;"";"";"";"";"PoweredOff";""
"atl-sig-32";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-34";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-sig-06";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-22";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-39";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-sig-04";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-CalibreEbook";"lib";"192.168.253.16|fe80::250:56ff:feae:83c9";"2";"6";;"200";;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-rdts-04";"srv-rds-04.gw-ad.local";"172.19.180.204";"18";"86";"660";;;"";"Атланта";"К";"";"PoweredOn";""
"atl-1c-app-01-dev";"1c-app-01-dev.gw-ad.local";"192.168.254.35";"18";"72";"900";;;"";"Атланта";"К";"сервер тестовых баз 1с";"PoweredOn";""
"host_crm-dobrograd";"crm.dobrograd.ru";"185.189.16.129|fe80::250:56ff:feae:6497|192.168.255.14|fe80::250:56ff:feae:b634";"4";"32";"256";"2048";;"";"Курорт Доброград";"АТ";"Web";"PoweredOn";""
"atl-sig-27";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"ltv-1c-app-01-test";"test1capp.gw-ad.local";"192.168.254.152";"8";"64";;;"200";"";"Литвуд";"ЛН";"1C APP";"PoweredOn";""
"tda-blockchain-api-gal-01";"blockchain-api-gal";"10.10.3.1|fe80::42:7aff:fe5a:eaae|172.20.0.1|192.168.254.133|fe80::250:56ff:fe85:5c06";"2";"2";;"100";;"";"Аскона-Тех";"ЛН-ТЕХ";"Blockchain";"PoweredOn";""
"srv-ask-esb";"vm-srv-esb.hcaskona.com";"192.168.10.61";"14";"62";"350";;;"";"Аскона-Век";"АВ-ВМС";"Cognos";"PoweredOn";""
"cp-template-dc847d2f-dc1c-4915-9d48-71f2834b0cf8";"it86553338.gw-ad.local";"";"2";"6";;"100";;"";"";"";"";"PoweredOff";""
"atl-ic-vdi-220";"atl-ic-vdi-220.gw-ad.local";"172.19.27.61";"4";"16";;"100";;"";"ТД Аскона";"ТДА";"";"PoweredOn";""
"atl-ic-vdi-306";"atl-ic-vdi-306.gw-ad.local";"172.19.27.71";"2";"6";"100";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-ic-vdi-216";"atl-ic-vdi-216.gw-ad.local";"172.19.27.57";"2";"6";;"100";;"";"Аскона-Тех";"ЛН-ТЕХ";"";"PoweredOn";""
"atl-ic-vdi-218";"atl-ic-vdi-218.gw-ad.local";"172.19.27.59";"2";"6";;"100";;"";"";"";"";"PoweredOn";""
"atl-1c-app-04";"1c-app-04-atl.gw-ad.local";"172.19.143.15|fe80::b8c8:b46e:a53:e104";"6";"16";"100";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-1c-app-08";"1c-app-08-atl.gw-ad.local";"172.19.143.18|fe80::1100:de8b:d2c7:90ce";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOn";""
"atl-ic-vdi-222";"atl-ic-vdi-222.gw-ad.local";"172.19.27.62";"2";"6";;"100";;"";"42-sol";"МТ";"";"PoweredOn";""
"atl-1c-app-02";"1c-app-02-atl.gw-ad.local";"172.19.143.13|fe80::18fa:2a3d:ce7d:b858";"6";"32";"160";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"cp-replica-5ee69da9-332a-4201-b0a8-cf35b809feda";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-1c-app-17";"1c-app-17-atl.gw-ad.local";"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-44";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-1c-app-11";"1c-app-11-atl.gw-ad.local";"";"6";"16";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-11";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"ces-ncloud-new";"ces-ncloud";"192.168.254.164|fe80::250:56ff:feae:45b";"6";"12";"2200";;;"";"";"";"";"PoweredOn";""
"atl-csp-41";"atl-csp-41.gw-ad.local";"172.19.6.12";"2";"6";;"100";;"";"АТЛАНТА";"К";"";"PoweredOn";""
"atl-csp-421";"atl-csp-421.gw-ad.local";"172.19.6.25";"2";"6";;"100";;"";"Атланта";"К";"";"PoweredOn";""
"atl-1c-app-10";"1c-app-10-atl.gw-ad.local";"172.19.143.20|fe80::7dd8:c18f:4f0a:2d10";"8";"28";"100";;;"";"Атланта";"К";"";"PoweredOn";""
"cp-template-197cb860-0315-4fff-9397-ce72486b1adb";;"";"2";"6";;"100";;"";"";"";"";"PoweredOff";""
"atl-it-ws-ken";"atl-it-ws-ken.gw-ad.local";"172.19.180.150";"4";"16";"200";;;"";"АТЛАНТА";"К";"";"PoweredOn";""
"cp-replica-4397a819-07f8-44ea-9ccc-ca87965ae132";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"atl-sig-30";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-20";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-1c-app-06";"1c-app-06-atl.gw-ad.local";"172.19.143.16|fe80::719e:3bad:a928:940a";"12";"62";"100";;;"";"Атланта";"К";"";"PoweredOn";""
"atl-sig-19";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-sig-21";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-ic-vdi-204";"atl-ic-vdi-204.gw-ad.local";"172.19.27.42";"4";"12";;"100";;"";"ЦЕС АЛГ";"ТДД";"WS-VDI";"PoweredOn";"Захарова Анастасия"
"atl-ic-vdi-009";"atl-ic-vdi-009.gw-ad.local";"172.19.27.33";"2";"6";;"100";;"";"";"";"WS-VDI";"PoweredOn";"melekhovai"
"atl-1c-app-07";;"";"6";"16";"300";;;"";"Аскона Казахстан";"АКЗ";"1CAPP";"PoweredOn";""
"atl-astral-03";"srv-astral-03.gw-ad.local";"192.168.254.131";"6";"12";;"700";;"";"Атланта";"К";"";"PoweredOn";""
"1c-kafka";"1c-kafka";"172.19.220.162|fe80::250:56ff:feae:3207";"2";"4";"100";;;"";"";"";"";"PoweredOn";""
"atl-rds-storage-01";"storage01.gw-ad.local";"192.168.254.129";"8";"10";"5200";"200";;"";"АТЛАНТА";"К";"RDS Profile Datastore";"PoweredOn";"SmetaninAV"
"atl-rdts-01";"srv-rds-01.gw-ad.local";"172.19.180.201";"18";"86";"600";;;"";"АТЛАНТА";"К";"RDS";"PoweredOn";"SmetaninAV"
"atl-sig-18";;"";"2";"6";"100";;;"";"Атланта";"К";"";"PoweredOff";""
"atl-rkeeper";"rkeeper.gw-ad.local";"192.168.254.115";"8";"12";;"1100";;"";"Фудкорт";"ФК";"R-Keeper";"PoweredOn";"SmetaninAV"
"atl-1c-app-09";"1c-app-09-atl.gw-ad.local";"172.19.143.19|fe80::6d8a:7d16:cf3d:fcef";"12";"24";"200";;;"";"Атланта";"К";"";"PoweredOn";""
"ltv-srv-pmt-win16";"srv-pmt-win16.gw-ad.local";"192.168.253.3";"4";"12";;"100";;"";"Литвуд";"ЛН";"";"PoweredOn";"SmirnovOP"
"atl-sig-35";;"";"2";"6";"100";;;"";"";"";"";"PoweredOff";""
"ces-naumen-sql-02";"nmn-askona-pg-gw";"172.19.220.22|fe80::250:56ff:feae:8e5f";"4";"8";"300";"50";;"";"ЦЕС АЛГ ООО";"ТДД";"";"PoweredOn";""
"atl-ic-vdi-002";"atl-ic-vdi-002.gw-ad.local";"172.19.27.24";"2";"6";;"100";;"";"АйСи";"ТДД";"WS-VDI";"PoweredOn";""
"ask-omni-lk-db02";"prod-omnilk-db02.pos.askona.ru";"192.168.10.136";"8";"32";"500";;;"";"ТД Аскона";"ТДА-ДОМ";"";"PoweredOn";""
"host-ask-sql-infobus-01";"host-ask-sql-infobus-01";"10.0.0.27|fe80::250:56ff:fe85:c22b|172.19.180.121|fe80::250:56ff:fe85:739";"8";"12";;"200";;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"atl-ic-vdi-015";"atl-ic-vdi-015.gw-ad.local";"172.19.27.41";"2";"6";;"100";;"";"АйСи ООО";"ТДД";"WS-VDI";"PoweredOn";""
"atl-ic-vdi-403";"atl-ic-vdi-403.gw-ad.local";"172.19.27.78";"2";"6";"100";;;"";"42-sol";"МТ";"";"PoweredOn";""
